%%%DateTime	ms since program start
2016-10-18T20:00:13.248-07:00	486
2.75 cups of nectar consumed
1518	-1
1518	-2
1520	-3
1520	-4
1521	-5
1521	-6
9260	6
9545	-6
16226	6
16245	-6
16644	6
17042	-6
18811	5
19027	-5
22360	4
22378	-4
22979	4
22993	-4
23144	4
23161	-4
26062	3
26476	-3
26493	3
26575	-3
31179	2
31194	-2
31578	2
31996	-2
36612	1
36627	-1
37111	1
37127	-1
37727	1
37864	-1
37993	1
38346	-1
38362	1
38643	-1
1279777	6
1279806	-6
1282239	4
1282640	-4
1294723	4
1294792	-4
1294824	4
1294925	-4
1294974	4
1295056	-4
1297391	6
1297408	-6
1297439	6
1297574	-6
1300257	4
1300675	-4
1303124	5
1303542	-5
1307441	4
1307458	-4
1307475	4
1307591	-4
1307624	4
1307724	-4
1310040	6
1310192	-6
1310208	6
1310224	-6
1310257	6
1310392	-6
1310425	6
1310524	-6
1642084	3
1642103	-3
1706802	6
1706818	-6
1707199	6
1707233	-6
1750635	6
1750651	-6
1750700	6
1750718	-6
1750731	6
1750765	-6
1750785	6
1750832	-6
1755952	5
1756099	-5
1771643	6
1771709	-6
1771762	6
1771776	-6
1771792	6
1771860	-6
1771892	6
1771911	-6
1771942	6
1771958	-6
1777252	5
1777333	-5
1777368	5
1777501	-5
1789751	5
1789801	-5
1789852	5
1789953	-5
1802450	6
1802468	-6
1802584	6
1802600	-6
1802702	6
1802717	-6
1802734	6
1802751	-6
1822568	6
1822586	-6
1822935	6
1822951	-6
1822969	6
1823053	-6
1825802	5
1825919	-5
1833686	5
1833802	-5
1833833	5
1833953	-5
1833967	5
1833985	-5
1839721	6
1839902	-6
1839917	6
1839936	-6
1839983	6
1840052	-6
1840070	6
1840084	-6
1850567	6
1850587	-6
1850617	6
1850636	-6
1850652	6
1850668	-6
1850718	6
1850783	-6
1858152	5
1858254	-5
1858303	5
1858419	-5
1858450	5
1858570	-5
1865118	6
1865268	-6
1874336	5
1874353	-5
1874369	5
1874436	-5
1874452	5
1874483	-5
1874503	5
1874518	-5
1881203	6
1881216	-6
1881237	6
1881252	-6
1888352	5
1888468	-5
1888520	5
1888617	-5
1888650	5
1888767	-5
1895635	6
1895651	-6
1920201	5
1920299	-5
1920333	5
1920352	-5
1920368	5
1920400	-5
1920418	5
1920434	-5
1920449	5
1920468	-5
1920484	5
1920500	-5
1920519	5
1920533	-5
1920549	5
1920585	-5
1920600	5
1920617	-5
2239096	5
2239112	-5
2250146	5
2250163	-5
2323879	6
2323896	-6
2358494	5
2358543	-5
2358577	5
2358645	-5
2358661	5
2358677	-5
2365863	4
2365878	-4
2365894	4
2365911	-4
2375895	6
2375909	-6
2375928	6
2375962	-6
2375978	6
2376009	-6
2376043	6
2376062	-6
2383477	4
2383496	-4
2383530	4
2383595	-4
2404174	1
2404187	-1
2418089	6
2418170	-6
2418222	6
2418303	-6
2441656	3
2441938	-3
2441969	3
2441988	-3
2474268	5
2474287	-5
2474306	5
2474389	-5
2474419	5
2474521	-5
2481588	6
2481987	-6
2483637	3
2483737	-3
2483753	3
2483855	-3
2483870	3
2483887	-3
2483921	3
2484003	-3
2484020	3
2484037	-3
2484054	3
2484071	-3
2484088	3
2484120	-3
2484153	3
2484170	-3
2484204	3
2484269	-3
2517637	6
2517686	-6
2517703	6
2517721	-6
2517735	6
2517802	-6
2517887	6
2517986	-6
2518036	6
2518119	-6
2520087	3
2520186	-3
2520202	3
2520303	-3
2520319	3
2520337	-3
2520353	3
2520419	-3
2520434	3
2520453	-3
2520468	3
2520488	-3
2525618	6
2525635	-6
2525704	6
