%%%DateTime	ms since program start
20160812192420Z-7	550
1614	-1
1617	-2
1637	-3
1652	-4
1668	-5
1685	-6
11388	4
11402	-4
63004	1
63255	-1
65053	2
65539	-2
69020	3
69304	-3
69702	3
69769	-3
72689	4
72735	-4
72869	4
72885	-4
76887	5
77203	-5
79720	6
79836	-6
80003	6
80053	-6
80403	6
80486	-6
4684885	5
4684901	-5
4684916	5
4684937	-5
4685001	5
4685018	-5
4685051	5
4701003	-5
4701016	5
4701037	-5
4701048	5
4701071	-5
4701082	5
4701103	-5
4701120	5
4701132	-5
4701153	5
4701170	-5
4701186	5
4701203	-5
4701220	5
4701236	-5
4701253	5
4701269	-5
4701286	5
4701303	-5
4723838	5
4723851	-5
4723917	5
4723932	-5
4724037	5
4724052	-5
4724153	5
4724168	-5
4736448	5
4736465	-5
4736482	5
4736499	-5
4736598	5
4736615	-5
4736648	5
4736671	-5
4736715	5
4736732	-5
4736752	5
4736765	-5
4736848	5
4736865	-5
8791908	1
8792357	-1
8795457	2
8795494	-2
8795674	2
8795707	-2
8800125	3
8800207	-3
8800474	3
8800640	-3
8810441	6
8810608	-6
8810791	6
8810825	-6
8810908	6
8810958	-6
8811077	6
8811409	-6
8929091	1
8929256	-1
8929708	1
8929792	-1
8930075	1
8930308	-1
8930592	1
8930775	-1
8931058	1
8931089	-1
8933824	2
8934057	-2
8934092	2
8934122	-2
8934907	2
8935025	-2
8935041	2
8935076	-2
8935308	2
8935509	-2
8935741	2
8936008	-2
8936090	2
8936642	-2
8940289	3
8940455	-3
8940824	3
8941040	-3
8945574	4
8945608	-4
8945875	4
8945906	-4
8946025	4
8946275	-4
8946475	4
8946506	-4
8946571	4
8946675	-4
8947854	4
8947941	-4
8948176	4
8948338	-4
8948508	4
8948671	-4
8949188	4
8949422	-4
8951771	5
8951904	-5
8952087	5
8952273	-5
8952471	5
8952492	-5
8952904	5
8953205	-5
8957072	6
8957155	-6
8957359	6
8957373	-6
8957572	6
8957688	-6
8957939	6
8957955	-6
8958173	6
8958223	-6
8958471	6
8958671	-6
8958825	6
8958871	-6
8959138	6
8959205	-6
9253036	5
9253053	-5
9253086	5
9253100	-5
9253133	5
9253153	-5
9253169	5
9253183	-5
9253268	5
9253287	-5
9284518	5
9284535	-5
9284568	5
9284585	-5
9284652	5
9284668	-5
9284735	5
9284752	-5
9284768	5
9284785	-5
9294036	5
9294052	-5
9294086	5
9294102	-5
9294186	5
9294202	-5
9311036	5
9311052	-5
9311069	5
9311083	-5
9311116	5
9311153	-5
9334383	5
9334401	-5
9334416	5
9334434	-5
9334550	5
9334566	-5
9334583	5
9334599	-5
9347717	5
9347735	-5
9347750	5
9347768	-5
9347783	5
9347801	-5
9347834	5
9347852	-5
9347867	5
9347882	-5
9347898	5
9347935	-5
9362101	5
9362118	-5
9362151	5
9362168	-5
9362253	5
9362268	-5
9362284	5
9362301	-5
9362333	5
9362351	-5
9371735	5
9371749	-5
9371765	5
9371785	-5
9371802	5
9371817	-5
9371835	5
9371849	-5
9371867	5
9371885	-5
9371899	5
9371914	-5
9371932	5
9371952	-5
9371968	5
9371982	-5
9386083	5
9386099	-5
9386148	5
9386184	-5
9386200	5
9386216	-5
9386233	5
9386248	-5
9386266	5
9386283	-5
9386298	5
9386316	-5
9407219	5
9407231	-5
9407251	5
9407267	-5
9407333	5
9407348	-5
9407368	5
9407381	-5
9407417	5
9407433	-5
9407449	5
9407468	-5
9407484	5
9407499	-5
9609365	5
9609598	-5
9633116	4
9633147	-4
9633166	4
9633365	-4
9634531	4
9668633	-4
9686582	4
9686763	-4
9686782	4
9686850	-4
9686865	4
9687566	-4
9756736	5
9756756	-5
9756769	5
9756787	-5
9756803	5
9756821	-5
9756836	5
9756852	-5
9756869	5
9756905	-5
9756919	5
9756938	-5
9756954	5
9756972	-5
9756986	5
9757006	-5
9757020	5
9757053	-5
9766353	5
9766370	-5
9766404	5
9766420	-5
9766519	5
9766537	-5
9766553	5
9766570	-5
9766586	5
9766606	-5
9766620	5
9766653	-5
9776038	5
9776055	-5
9776072	5
9776088	-5
9776104	5
9776139	-5
9776172	5
9776238	-5
9776252	5
9776321	-5
9785752	5
9785772	-5
9785788	5
9785822	-5
9785903	5
9785923	-5
9785938	5
9785955	-5
9785971	5
9785986	-5
9786005	5
9786038	-5
9795589	5
9795604	-5
9795620	5
9795637	-5
9795655	5
9795672	-5
9795687	5
9795704	-5
9795719	5
9795736	-5
9795756	5
9795771	-5
9795786	5
9795803	-5
9795820	5
9795836	-5
9795853	5
9795886	-5
9805605	5
9805622	-5
9805638	5
9805672	-5
9805704	5
9805738	-5
9805755	5
9805769	-5
9805789	5
9805820	-5
9805837	5
9805855	-5
9805869	5
9805953	-5
9815403	5
9815420	-5
9815436	5
9815452	-5
9815469	5
9815487	-5
9815504	5
9815520	-5
9815539	5
9815552	-5
9815569	5
9815604	-5
9815621	5
9815669	-5
9815685	5
9815705	-5
9824953	5
9824970	-5
9825036	5
9825070	-5
9825121	5
9825135	-5
9825151	5
9825171	-5
9825188	5
9834652	-5
9834671	5
9834688	-5
9834704	4
9834737	5
9834752	-5
9834769	5
9834789	-5
9834820	5
9834838	-5
9834872	5
9834887	-5
9834904	5
9835005	-5
9844671	5
9844703	-5
9844722	5
9844753	-5
9844771	5
9844804	-5
9844819	5
9844839	-5
9844852	5
9844869	-5
9844888	5
9844903	-5
9844919	5
9844937	-5
9844955	5
9844970	-5
9854638	5
9854756	-5
9854771	5
9854788	-5
9854803	5
9854821	-5
9854838	5
9855555	-5
9855571	5
9864204	-5
9864218	5
9864234	-5
9864271	5
9864286	-5
9864304	5
9864321	-5
9864337	5
9864355	-5
9864367	5
9864386	-5
9864401	5
9864421	-5
9864437	5
9864451	-5
9864471	5
9864485	-5
14680319	-4
14680335	4
14681166	-4
14843315	4
14849149	-4
14849166	4
14849183	-4
14849199	4
14874235	-4
14874252	4
14876635	-4
14880034	4
14892930	-4
14892953	4
14893001	-4
14893013	4
14909330	-4
14909346	4
14909516	-4
14909530	4
14913946	-4
14915463	4
14915563	-4
14915579	4
14915746	-4
14915763	4
14918169	-4
14929035	4
14929112	-4
14929129	4
14929266	-4
14929279	4
14929312	-4
14929333	4
14929346	-4
14929362	4
14929979	-4
14934651	4
14954781	-4
14954799	4
14954847	-4
14954868	4
14954881	-4
14954898	4
14955548	-4
14960432	4
14960613	-4
14960632	4
14960715	-4
14960732	4
14961682	-4
14972067	4
14972100	-4
14972117	4
14972284	-4
14972297	4
14973900	-4
14981334	4
14987383	-4
14987396	4
14987497	-4
14987517	4
14993462	-4
14993478	4
14993499	-4
14993514	4
14993552	-4
14993566	4
15010328	-4
15010351	4
15010545	-4
15010569	4
15011545	-4
15016661	4
15028148	-4
15028161	4
15028244	-4
15028261	4
15028464	-4
15034411	4
15034494	-4
15034512	4
15036086	5
15036094	-5
15036128	5
15036144	-5
15036164	5
15036197	-5
15036211	5
15036228	-5
15036578	-4
15040616	4
15040664	-4
15040683	4
15040783	-4
15040798	4
15040816	-4
15040828	4
15040860	-4
15040886	4
15041615	-4
15052328	4
15052428	-4
15052445	4
15052535	-4
15052545	4
15052628	-4
15052648	4
15061445	-4
15061464	4
15062163	5
15062196	-5
15062213	5
15062279	-5
15062897	3
15062913	-3
15067364	-4
15067380	4
15067514	-4
15067530	4
15076865	-4
15437327	4
15552806	5
15552826	-5
15552875	5
15552891	-5
15552904	5
15552927	-5
15577370	5
15577387	-5
15584938	5
15584987	-5
15585005	5
15585021	-5
15585037	5
15585054	-5
15585075	5
15585088	-5
15585121	5
15585154	-5
15585171	5
15585188	-5
15641226	5
15641238	-5
15641287	5
15641309	-5
15641440	5
15641457	-5
15641471	5
15641492	-5
15641504	5
15641525	-5
15686320	5
15686337	-5
15686358	5
15686373	-5
15686385	5
15686452	-5
15686468	5
15686535	-5
15686553	5
15686605	-5
15696554	5
15696570	-5
15696587	5
15696607	-5
15696620	5
15696670	-5
15696686	5
15696704	-5
15696724	5
15696737	-5
15696753	5
15696770	-5
15696785	5
15696887	-5
15706538	5
15706572	-5
15706588	5
15706605	-5
15706622	5
15706655	-5
15706672	5
15706703	-5
15706721	5
15706774	-5
15706788	5
15716322	-5
15716335	5
15716407	-5
15716422	5
15716506	-5
15716523	5
15716573	-5
15726255	5
15726274	-5
15726306	5
15726323	-5
15726336	5
15726373	-5
15726386	5
15726405	-5
15726418	5
15726441	-5
15726453	5
15726469	-5
15726489	5
15726502	-5
15726525	5
15726624	-5
15749589	5
15749605	-5
15749623	5
15749637	-5
15749657	5
15749672	-5
15749690	5
15749706	-5
15749722	5
15749739	-5
15749757	5
15749770	-5
15749790	5
15749822	-5
15749839	5
15749856	-5
15749872	5
15755024	-5
15762354	5
15762373	-5
15762387	5
15762406	-5
15762421	5
15762473	-5
15762485	5
15762501	-5
15762517	5
15762536	-5
15762554	5
15762571	-5
15762588	5
15776838	-5
15776855	5
15776922	-5
15776938	5
15777039	-5
15777055	5
15777072	-5
15777088	5
15787538	-5
15787550	5
15787589	-5
15795168	5
15795184	-5
15795218	5
15795258	-5
15795268	5
15795284	-5
15795324	5
15795334	-5
15795350	5
15795374	-5
15795387	5
15795451	-5
15795468	5
15815169	-5
15815187	5
15815204	-5
15815237	5
15815271	-5
15815287	5
15815304	-5
15815321	5
15815371	-5
15815387	5
15825722	-5
15825738	5
15825755	-5
15825770	5
15825789	-5
15825802	5
15825822	-5
15825872	5
15825887	-5
15825904	5
15825972	-5
15825988	5
15872102	-5
15872202	5
15872234	-5
15872306	5
15872336	-5
15872351	5
15889788	-5
15889799	5
15889822	-5
15889837	5
15889888	-5
15889903	5
15902950	-5
15902967	5
15902983	-5
15903005	5
15903019	-5
15903033	5
15903072	-5
15903083	5
15903133	-5
15903150	5
15903233	-5
15903250	5
15915054	-5
15915068	5
15915118	-5
15915135	5
15915170	-5
15915185	5
15915252	-5
15915268	5
15939932	-5
15939955	5
15939968	-5
15940022	5
15940034	-5
15940049	5
15940072	-5
15940085	5
15940138	-5
15940150	5
15940171	-5
15940182	5
15940205	-5
15940219	5
15940235	-5
15940254	5
15950983	-5
15951004	5
15951018	-5
15951032	5
15951123	-5
15951133	5
15951204	-5
15951217	5
15951235	-5
15951254	5
15951267	-5
15951287	5
15951300	-5
15951318	5
15951337	-5
15951353	5
15951367	-5
15951388	5
15962204	-5
15962218	5
15962237	-5
15962287	5
15962300	-5
15962320	5
15962402	-5
15962420	5
15967555	2
15967568	-2
15967587	2
15967603	-2
15967650	2
15967667	-2
15967682	2
15967703	-2
15967732	2
15967755	-2
15967820	2
15967837	-2
15967940	2
15967951	-2
15973520	-5
15973533	5
15973618	-5
15973633	5
15973650	-5
15973667	5
15973684	-5
15973700	5
15973717	-5
15973737	5
15982385	-5
15982401	5
15982417	-5
15982465	5
15982501	-5
15982518	5
15982619	-5
15982635	5
15990603	2
15990619	-2
15990670	2
15990702	-2
15990752	2
15990769	-2
15990786	2
15990836	-2
15990886	2
15990902	-2
15990951	2
15990969	-2
15990986	2
15991002	-2
15991035	2
15991070	-2
15991119	2
15991152	-2
15991169	2
15991186	-2
16007148	2
16007171	-2
16007232	2
16007303	-2
16007315	2
16007331	-2
16007348	2
16007365	-2
16007381	2
16007415	-2
16007438	2
16007448	-2
16008232	-5
16008248	5
16008266	-5
16008285	5
16008303	-5
16008315	5
16008332	-5
16008348	5
16008365	-5
16008382	5
16008397	-5
16008421	5
16008432	-5
16008448	5
16008515	-5
16008748	5
16024334	-5
16024351	5
16024384	-5
16024415	5
16024450	-5
16024467	5
16024534	-5
16024550	5
16045470	-5
16045480	5
16045585	-5
16045603	5
16045618	-5
16045636	5
16045669	-5
16045680	5
16045704	-5
16046601	5
16048051	-5
16050204	5
16054380	-5
16054404	5
16062650	-5
16062667	5
16062683	-5
16062702	5
16062797	-5
16062818	5
16062885	-5
16062902	5
16062913	-5
16062936	5
16062996	-5
16080169	5
16080180	-5
16080301	5
16080314	-5
16080330	5
16080346	-5
16088683	5
16088700	-5
16088783	5
16088816	-5
16088833	5
16088850	-5
16088900	5
16088916	-5
