%%%DateTime	ms since program start
2016-08-14T18:50:38.429-07:00	680
1685	-1
1687	-2
1705	-3
1724	-4
1738	-5
1758	-6
13388	4
13405	-4
16072	4
16107	-4
16123	4
16272	-4
16323	4
16339	-4
48777	1
48794	-1
48878	1
49194	-1
51878	2
52011	-2
52661	2
52675	-2
52894	2
52960	-2
54528	3
54912	-3
57061	4
57095	-4
57195	4
57262	-4
57479	4
57528	-4
57779	4
57845	-4
58062	4
58079	-4
60462	5
60496	-5
60762	5
60812	-5
63096	6
63229	-6
63680	6
63729	-6
531972	3
532004	-3
532019	3
532038	-3
532055	3
532071	-3
532888	3
533022	-3
534156	3
534172	-3
534336	3
534355	-3
535273	3
535337	-3
535372	3
535386	-3
536572	3
536587	-3
536602	3
536623	-3
538669	3
538686	-3
539703	3
539719	-3
540723	3
540736	-3
541720	3
541736	-3
542403	3
542420	-3
543587	3
543606	-3
558122	3
558139	-3
559841	3
559907	-3
559922	3
559939	-3
559989	3
560006	-3
560572	3
560588	-3
562556	3
562573	-3
565490	3
565507	-3
567175	3
567190	-3
568357	3
568373	-3
570141	3
570173	-3
571941	3
571958	-3
573591	3
573608	-3
574342	3
574358	-3
574826	3
574842	-3
576175	3
576192	-3
578526	3
578542	-3
579909	3
579926	-3
580958	3
580976	-3
581575	3
581592	-3
583027	3
583060	-3
584527	3
584541	-3
585777	3
585790	-3
586556	3
586576	-3
587227	3
587240	-3
588694	3
588710	-3
590911	3
590945	-3
592644	3
592658	-3
594428	3
594458	-3
595612	3
595627	-3
596194	3
596208	-3
597312	3
597345	-3
598279	3
598295	-3
600242	3
600263	-3
602277	3
602295	-3
604076	3
604096	-3
605626	3
605643	-3
607029	3
607046	-3
607996	3
608009	-3
609359	3
609379	-3
610679	3
610714	-3
610828	3
610844	-3
611763	3
611780	-3
612414	3
612427	-3
613577	3
613594	-3
616510	3
616528	-3
617114	3
617130	-3
618562	3
618581	-3
620313	3
620364	-3
620527	3
620548	-3
621013	3
621028	-3
621044	3
621061	-3
621161	3
621181	-3
621681	3
621696	-3
622297	3
622330	-3
622347	3
622361	-3
623862	3
623898	-3
624963	3
624979	-3
643933	2
643949	-2
644966	2
644982	-2
645965	2
645981	-2
660503	3
660515	-3
661966	3
661981	-3
662583	3
662599	-3
665200	3
665216	-3
666599	3
666616	-3
667733	3
667750	-3
669550	3
669568	-3
670266	3
670283	-3
670836	3
670852	-3
671617	3
671652	-3
671850	3
671866	-3
671933	3
671949	-3
672317	3
672350	-3
672367	3
672417	-3
672466	3
672485	-3
673317	3
673366	-3
673403	3
673434	-3
673466	3
673520	-3
673536	3
673585	-3
673601	3
673651	-3
673700	3
673716	-3
674633	3
674684	-3
674701	3
674817	-3
674850	3
674883	-3
674916	3
674951	-3
677417	3
677436	-3
677903	3
677917	-3
677967	3
678000	-3
678837	3
678867	-3
678904	3
679000	-3
679037	3
679353	-3
679367	3
679401	-3
680134	3
680150	-3
680167	3
680183	-3
680266	3
680287	-3
680337	3
680353	-3
680400	3
680416	-3
680467	3
680500	-3
680534	3
680551	-3
680617	3
680634	-3
680683	3
680700	-3
681869	3
681886	-3
681985	3
682001	-3
682017	3
682036	-3
682051	3
682154	-3
682337	3
682368	-3
682387	3
682402	-3
683201	3
683218	-3
683237	3
683718	-3
684468	3
684487	-3
684534	3
684568	-3
684602	3
684668	-3
684685	3
684735	-3
684754	3
684885	-3
685518	3
685550	-3
685784	3
685803	-3
685818	3
685986	-3
686017	3
686071	-3
