%%%DateTime	ms since program start
2016-08-15T19:57:42.401-07:00	486
1548	-1
1722	-2
1851	-3
1884	-4
1903	-5
2036	-6
30754	1
30904	-1
32688	2
32705	-2
32822	2
32855	-2
32971	2
33004	-2
35889	3
36005	-3
39290	4
39422	-4
39621	4
39753	-4
42973	5
43039	-5
45523	6
45556	-6
3087281	5
3087300	-5
3125835	5
3125848	-5
3125862	5
3125879	-5
3285935	3
3285977	-3
3286000	3
3286013	-3
3286029	3
3286050	-3
3570026	5
3570076	-5
3570093	5
3570110	-5
3570132	5
3570192	-5
3570226	5
3570276	-5
3570293	5
3570309	-5
3570693	5
3571476	-5
3586795	5
3631543	-5
3631562	5
3742996	3
3743125	-3
3743141	3
3743225	-3
3743258	3
3756377	4
3756393	-4
3768639	-5
3768661	5
3768695	-5
3771745	5
3801226	6
3801242	-6
3854274	6
3854290	-6
3854310	6
3854323	-6
3854457	6
3854478	-6
3863811	2
3863892	-2
3863925	2
3864009	-2
3864028	2
3864142	-2
3865325	2
3868828	-2
3901010	2
3979610	-5
3979720	5
3999742	-5
3999754	5
4037660	-5
4037672	5
4037860	-5
4037874	5
4063489	-5
4063505	5
4064804	-5
4064820	5
4079356	-5
4079373	5
4089256	-5
4089274	5
4115656	-5
4115670	5
4123039	-5
4123055	5
4137891	-5
4137902	5
4156977	6
4156990	-6
4157037	6
4157059	-6
4157086	6
4157142	-6
4157157	6
4157223	-6
4164405	-5
4164425	5
4171520	6
4171538	-6
4171555	6
4171602	-6
4171619	6
4171653	-6
4171676	6
4171777	-6
4171786	6
4172136	-6
4172153	6
4174587	-6
4175602	-5
4175620	5
4183869	-5
4183888	5
4192639	-5
4192656	5
4220470	-5
4220486	5
4281938	-5
4281952	5
4282318	-5
4282335	5
5339660	-5
5339679	5
5339879	-5
5339896	5
5365228	-5
5365249	5
5371584	-5
5371800	5
5422381	-5
5422398	5
5432048	-5
5432065	5
5475681	-5
5475697	5
5518311	-5
5518331	5
5683176	4
5683194	-4
5699729	4
5699798	-4
5745443	-3
5745461	-5
5762009	3
5762025	-3
5762059	3
5762125	-3
5762159	3
5762225	-3
5762258	3
5762326	-3
5762359	3
5762442	-3
5762459	3
5762559	-3
5762592	3
5762646	-3
5762659	3
5762676	-3
5762759	3
5762775	-3
5772675	4
5772709	-4
5772724	4
5772807	-4
5772847	4
5772949	-4
5772974	4
5773082	-4
5773093	4
5773175	-4
5773207	4
5773292	-4
5781659	3
5781692	-3
5781842	3
5781892	-3
5781908	3
5781958	-3
5789793	4
5792543	-4
5792560	4
5792627	-4
5792643	4
5807343	-4
5807362	4
5867290	5
5867307	-5
5867323	5
5867345	-5
5867361	5
5867396	-5
5873141	-4
5873156	4
5886956	5
6001990	3
6002023	-3
6002040	3
6002062	-3
6002072	3
6002090	-3
6002156	3
6002188	-3
6002257	3
6002290	-3
6002378	3
6002389	-3
6007178	-4
6007339	4
6023359	3
6191026	-4
6191242	4
6191820	6
6191958	-6
6242605	-5
6242623	5
6253873	-5
6253885	5
6253907	-5
6253919	5
6268391	6
6268407	-6
6268654	6
6268719	-6
6328553	-5
6328569	5
6341986	-5
6342004	5
6404753	-5
6404770	5
6503418	6
6504239	-6
6504250	6
6534522	-6
6534532	6
6534734	-6
6534755	6
6534832	-6
6534854	6
6547404	-5
6547415	5
6566937	-6
6566953	6
6577986	-6
6578004	6
6578153	-6
6578171	6
6578321	-6
6578336	6
6587771	-6
6587784	6
6587936	-6
6587949	6
6594349	-6
6594435	6
6611506	-5
6611517	5
6622619	-2
6622784	2
6881214	-5
6881231	5
6884365	-5
6884381	5
6966484	-3
6966498	3
6980982	-4
6981177	4
7378590	-3
7558793	-6
8059786	3
8059838	-3
8161331	1
8161355	-1
8184452	-2
8184464	2
8196033	-2
8196085	2
8400249	-5
8400263	5
8517915	-4
8517928	4
8520961	-4
8579067	1
8579079	-1
8582713	4
8583746	-4
8588966	1
8589381	-1
8637297	1
8637314	-1
8637330	1
8637364	-1
8637381	1
8637480	-1
8637497	1
8637714	-1
8637729	1
8637828	-1
8637847	1
8637948	-1
8637964	1
8637981	-1
8656894	4
8711761	1
8711781	-1
8711831	1
8711847	-1
8711881	1
8711897	-1
8711909	1
8711927	-1
8711948	1
8712010	-1
8712032	1
8712046	-1
8823375	-5
8823398	5
8832078	-5
8832092	5
8832694	1
8832708	-1
8832875	1
8832897	-1
8833042	1
8833058	-1
8850358	-5
8850511	5
8850611	-5
8850926	5
9146660	-5
9147077	5
9240256	-5
9240276	5
9387304	-5
9387320	5
9389837	-5
9389853	5
9435635	-5
9435658	5
9810490	-5
9810508	5
9834183	-5
9834197	5
10130507	3
10130526	-3
10154724	3
10154774	-3
10154809	3
10154906	-3
10154924	3
10155026	-3
10246729	-5
10246743	5
10296644	-5
10296877	5
10377465	-4
10986234	4
10986267	-4
10986318	4
10986401	-4
10986534	4
11077816	-5
11077831	5
12390601	-5
12390617	5
12426866	-5
12426885	5
12466202	6
12466217	-6
12581980	-4
12581997	4
12582013	-4
12582150	4
12582166	-4
12632829	4
12632946	-4
12632964	4
12633033	-4
12637399	-5
12637412	5
12653749	1
12653762	-1
12653779	1
12653814	-1
12653832	1
12653845	-1
12653863	1
12653963	-1
12653979	1
12653995	-1
12691565	4
12691615	-4
12691698	4
12691765	-4
12691831	4
12691899	-4
12691913	4
12691931	-4
12699550	6
12699633	-6
12699645	6
12699662	-6
12699682	6
12699778	-6
12699798	6
12699845	-6
12699862	6
12699897	-6
12699911	6
12700062	-6
12700078	6
12721614	4
12721748	-4
12721764	4
12721880	-4
12755945	1
12755962	-1
12756028	1
12756044	-1
12756112	1
12756128	-1
12760348	-6
12760527	6
12776229	4
13003962	-2
