%%%DateTime	ms since program start
2016-10-08T13:21:19.511-07:00	503
1532	-1
2504	-4
3520	-6
4520	2
5537	2
5554	-2
5570	2
5587	-2
5603	2
5620	-2
5637	2
5653	-2
5670	2
5687	-2
5703	2
5719	-2
5738	2
5753	-2
5770	2
5785	-2
5802	2
5820	-2
5837	2
5853	-2
5869	2
5886	-2
5903	2
5919	-2
5936	2
5953	-2
5970	2
5987	-2
6003	2
6020	-2
6037	2
6053	-2
6070	2
6086	-2
6104	2
6119	-2
6136	2
6153	-2
6171	2
6186	-2
6204	2
6220	-2
6237	2
6253	-2
6269	2
6287	-2
6303	2
6320	-2
6337	2
6354	-2
6370	2
6386	-2
6403	2
6419	-2
7219	-2
8237	-2
8254	2
8270	-2
8287	2
8304	-2
8320	2
8337	-2
8353	2
8370	-2
8386	2
9353	2
10370	2
11387	2
11404	-2
11421	2
11435	-2
12437	-2
13454	-2
14471	-2
14487	2
15488	2
15504	-2
15520	2
15537	-2
15554	2
15568	-2
15589	2
15602	-2
15621	2
15637	-2
15653	2
15671	-2
15685	2
15703	-2
15720	2
15735	-2
15753	2
15771	-2
16721	-2
17721	-2
18738	-2
19754	-2
20788	-2
20803	2
20822	-2
20837	2
20854	-2
20872	2
21854	2
21871	-2
21887	2
21901	-2
21922	2
21936	-2
21955	2
21971	-2
21986	2
22005	-2
22021	2
22988	2
24002	2
24021	-2
24036	2
25035	2
26056	2
26069	-2
26085	2
26102	-2
26120	2
26135	-2
26154	2
26171	-2
26185	2
26205	-2
26222	2
26236	-2
26253	2
26272	-2
26287	2
26305	-2
26318	2
26339	-2
27271	-2
28286	-2
28303	2
28321	-2
28337	2
28354	-2
28371	2
28385	-2
28402	2
28418	-2
28436	2
29421	2
30438	2
31454	2
31472	-2
31489	2
32490	2
