%%%DateTime	ms since program start
201673119269Z-7	584
1844	-1
1849	-2
1868	-3
1884	-4
1900	-5
76408	4
77558	-4
77676	4
77877	-4
78060	4
78295	-4
78375	4
78627	-4
78961	4
79393	-4
80778	5
80842	-5
81107	5
83308	-5
85824	1
86062	-1
86126	1
86274	-1
86425	1
86608	-1
86674	1
86874	-1
87011	1
87525	-1
89093	2
89160	-2
89225	2
89558	-2
89624	2
89711	-2
89825	2
89891	-2
89957	2
90041	-2
90107	2
90176	-2
90410	2
90758	-2
92742	3
93241	-3
93991	3
94258	-3
94658	3
94728	-3
94792	3
271249	-3
271295	3
271448	-3
