Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,Solar
12:12 AM,82.7 °F,65 °F,56%,East ,0 mph,2 mph,29.79 in,0 in,0 in,0 w/m²
12:27 AM,82 °F,65 °F,57%,ENE ,1 mph,3 mph,29.79 in,0 in,0 in,0 w/m²
12:42 AM,82.7 °F,64 °F,54%,NE ,0 mph,0 mph,29.79 in,0 in,0 in,0 w/m²
12:57 AM,81.4 °F,66 °F,59%,SE ,0 mph,1 mph,29.79 in,0 in,0 in,0 w/m²
1:12 AM,80.9 °F,65 °F,59%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
1:27 AM,80 °F,66 °F,62%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
1:42 AM,79.2 °F,67 °F,66%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
1:57 AM,79.1 °F,67 °F,67%,SE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
2:12 AM,79.2 °F,68 °F,68%,ESE ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
2:27 AM,79.2 °F,68 °F,68%,ESE ,0 mph,1 mph,29.77 in,0 in,0 in,0 w/m²
2:42 AM,79.5 °F,67 °F,66%,East ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
2:57 AM,79.3 °F,67 °F,67%,NE ,3 mph,4 mph,29.77 in,0 in,0 in,0 w/m²
3:12 AM,80.2 °F,66 °F,62%,NE ,0 mph,3 mph,29.77 in,0 in,0 in,0 w/m²
3:27 AM,78.7 °F,67 °F,68%,East ,0 mph,2 mph,29.77 in,0 in,0 in,0 w/m²
3:42 AM,77.9 °F,67 °F,68%,East ,0 mph,1 mph,29.77 in,0 in,0 in,0 w/m²
3:57 AM,77.4 °F,66 °F,69%,East ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
4:13 AM,77.1 °F,66 °F,69%,East ,0 mph,2 mph,29.78 in,0 in,0 in,0 w/m²
4:28 AM,76.3 °F,66 °F,71%,East ,0 mph,0 mph,29.78 in,0 in,0 in,0 w/m²
4:43 AM,76.1 °F,66 °F,71%,East ,0 mph,2 mph,29.79 in,0 in,0 in,0 w/m²
4:58 AM,75.3 °F,67 °F,74%,East ,0 mph,0 mph,29.79 in,0 in,0 in,0 w/m²
5:13 AM,75.4 °F,66 °F,73%,East ,0 mph,0 mph,29.79 in,0 in,0 in,0 w/m²
5:28 AM,74.9 °F,66 °F,73%,East ,0 mph,1 mph,29.79 in,0 in,0 in,0 w/m²
5:43 AM,74.4 °F,67 °F,78%,East ,0 mph,0 mph,29.8 in,0 in,0 in,5 w/m²
5:58 AM,74.6 °F,66 °F,74%,East ,0 mph,0 mph,29.81 in,0 in,0 in,11 w/m²
6:13 AM,75.2 °F,66 °F,73%,East ,0 mph,1 mph,29.81 in,0 in,0 in,30 w/m²
6:28 AM,75.8 °F,65 °F,70%,East ,0 mph,0 mph,29.82 in,0 in,0 in,65 w/m²
6:43 AM,78.2 °F,67 °F,69%,East ,0 mph,0 mph,29.82 in,0 in,0 in,121 w/m²
7:13 AM,80.5 °F,66 °F,62%,East ,0 mph,0 mph,29.83 in,0 in,0 in,207 w/m²
7:28 AM,81.8 °F,67 °F,62%,East ,0 mph,0 mph,29.83 in,0 in,0 in,265 w/m²
7:43 AM,83.9 °F,66 °F,56%,East ,0 mph,0 mph,29.84 in,0 in,0 in,313 w/m²
7:58 AM,85.1 °F,67 °F,55%,East ,0 mph,0 mph,29.84 in,0 in,0 in,364 w/m²
8:13 AM,85.7 °F,66 °F,52%,East ,0 mph,0 mph,29.84 in,0 in,0 in,406 w/m²
8:28 AM,87.2 °F,66 °F,50%,North ,0 mph,1 mph,29.84 in,0 in,0 in,450 w/m²
8:43 AM,87.8 °F,66 °F,48%,NW ,0 mph,4 mph,29.84 in,0 in,0 in,439 w/m²
8:59 AM,88.3 °F,66 °F,48%,NW ,0 mph,1 mph,29.85 in,0 in,0 in,371 w/m²
9:29 AM,90.9 °F,63 °F,40%,WNW ,0 mph,0 mph,29.85 in,0 in,0 in,673 w/m²
9:44 AM,90.6 °F,64 °F,41%,WNW ,0 mph,2 mph,29.85 in,0 in,0 in,680 w/m²
9:59 AM,91.7 °F,63 °F,39%,NW ,2 mph,3 mph,29.85 in,0 in,0 in,719 w/m²
10:14 AM,92.8 °F,64 °F,38%,West ,0 mph,1 mph,29.85 in,0 in,0 in,740 w/m²
10:29 AM,94.1 °F,63 °F,36%,West ,1 mph,2 mph,29.84 in,0 in,0 in,766 w/m²
10:44 AM,94.2 °F,62 °F,34%,WNW ,0 mph,4 mph,29.84 in,0 in,0 in,798 w/m²
10:59 AM,95.7 °F,62 °F,33%,WSW ,0 mph,5 mph,29.84 in,0 in,0 in,824 w/m²
