"","Time","Temperature","Dew.Point","Humidity","Wind","Speed","Gust","Pressure","Precip..Rate.","Precip..Accum.","Solar"
"1","12:12 AM",82.7,65,56,"East ",0,2,29.79,0,0,0
"2","12:27 AM",82,65,57,"ENE ",1,3,29.79,0,0,0
"3","12:42 AM",82.7,64,54,"NE ",0,0,29.79,0,0,0
"4","12:57 AM",81.4,66,59,"SE ",0,1,29.79,0,0,0
"5","1:12 AM",80.9,65,59,"SE ",0,0,29.78,0,0,0
"6","1:27 AM",80,66,62,"SE ",0,0,29.78,0,0,0
"7","1:42 AM",79.2,67,66,"SE ",0,0,29.78,0,0,0
"8","1:57 AM",79.1,67,67,"SE ",0,0,29.78,0,0,0
"9","2:12 AM",79.2,68,68,"ESE ",0,0,29.78,0,0,0
"10","2:27 AM",79.2,68,68,"ESE ",0,1,29.77,0,0,0
"11","2:42 AM",79.5,67,66,"East ",0,0,29.78,0,0,0
"12","2:57 AM",79.3,67,67,"NE ",3,4,29.77,0,0,0
"13","3:12 AM",80.2,66,62,"NE ",0,3,29.77,0,0,0
"14","3:27 AM",78.7,67,68,"East ",0,2,29.77,0,0,0
"15","3:42 AM",77.9,67,68,"East ",0,1,29.77,0,0,0
"16","3:57 AM",77.4,66,69,"East ",0,0,29.78,0,0,0
"17","4:13 AM",77.1,66,69,"East ",0,2,29.78,0,0,0
"18","4:28 AM",76.3,66,71,"East ",0,0,29.78,0,0,0
"19","4:43 AM",76.1,66,71,"East ",0,2,29.79,0,0,0
"20","4:58 AM",75.3,67,74,"East ",0,0,29.79,0,0,0
"21","5:13 AM",75.4,66,73,"East ",0,0,29.79,0,0,0
"22","5:28 AM",74.9,66,73,"East ",0,1,29.79,0,0,0
"23","5:43 AM",74.4,67,78,"East ",0,0,29.8,0,0,5
"24","5:58 AM",74.6,66,74,"East ",0,0,29.81,0,0,11
"25","6:13 AM",75.2,66,73,"East ",0,1,29.81,0,0,30
"26","6:28 AM",75.8,65,70,"East ",0,0,29.82,0,0,65
"27","6:43 AM",78.2,67,69,"East ",0,0,29.82,0,0,121
"28","7:13 AM",80.5,66,62,"East ",0,0,29.83,0,0,207
"29","7:28 AM",81.8,67,62,"East ",0,0,29.83,0,0,265
"30","7:43 AM",83.9,66,56,"East ",0,0,29.84,0,0,313
"31","7:58 AM",85.1,67,55,"East ",0,0,29.84,0,0,364
"32","8:13 AM",85.7,66,52,"East ",0,0,29.84,0,0,406
"33","8:28 AM",87.2,66,50,"North ",0,1,29.84,0,0,450
"34","8:43 AM",87.8,66,48,"NW ",0,4,29.84,0,0,439
"35","8:59 AM",88.3,66,48,"NW ",0,1,29.85,0,0,371
"36","9:29 AM",90.9,63,40,"WNW ",0,0,29.85,0,0,673
"37","9:44 AM",90.6,64,41,"WNW ",0,2,29.85,0,0,680
"38","9:59 AM",91.7,63,39,"NW ",2,3,29.85,0,0,719
"39","10:14 AM",92.8,64,38,"West ",0,1,29.85,0,0,740
"40","10:29 AM",94.1,63,36,"West ",1,2,29.84,0,0,766
"41","10:44 AM",94.2,62,34,"WNW ",0,4,29.84,0,0,798
"42","10:59 AM",95.7,62,33,"WSW ",0,5,29.84,0,0,824
